,Role,Company,Stipend,Duration,Location
8076,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
8077,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
8078,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
8079,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
8080,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Delhi
8081,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,Hyderabad
8082,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,"Delhi, Gurgaon, Noida                                                            (Hybrid)"
8083,Graphic Design,Raima Meditech Pvt Ltd,"₹ 10,000-15,000 /month",4 Months,Mumbai                                                            (Hybrid)
8084,Business Development (Sales),Stirring Minds,"₹ 5,000-12,000 /month",6 Months,Bangalore
8085,Content Writing,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Panchkula
8086,Video Editing/Making,Tap That,"₹ 10,000-15,000 /month",3 Months,Hyderabad
8087,Social Media Marketing,Sid&co,"₹ 6,000-12,000 /month",6 Months,Pune
8088,Customer Service/Customer Support,Ayurveda House Private Limited,"₹ 10,000-12,000 /month",3 Months,Pune
8089,Graphic Design,Sorted Branding,"₹ 8,000 /month",3 Months,
8090,Digital Marketing,Pune Medical Coding Training Institute,"₹ 7,000 /month",6 Months,
8091,Founders Office Operations,Stirring Minds,"₹ 6,000-12,000 /month",6 Months,
8092,Influencer Marketer - Malayalam,Doveriye,"₹ 10,000-14,000 /month",3 Months,
8093,Creative Design,Art Of Puja,"₹ 7,000 /month",3 Months,
8094,Business Strategy,Aventus Capital,"₹ 5,000-10,000 /month",5 Months,
8095,Graphic Design,Techyguide OPC Private Limited,"₹ 5,000 /month",6 Months,
8096,Academic Counselor,English Connection,"₹ 10,000-15,000 /month",3 Months,
8097,Graphic Design,Swipe,"₹ 20,000 /month",6 Months,
8098,Business Development (Sales),TopMentor,"₹ 10,000 /month",6 Months,
8099,Search Engine Optimization (SEO),Pune Medical Coding Training Institute,"₹ 7,000 /month",3 Months,
8100,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
8101,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
8102,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
8103,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
8104,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
8105,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
8106,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
8107,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
8108,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
8109,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
8110,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
8111,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
8112,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
8113,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
8114,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
8115,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
8116,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
8117,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
8118,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,Raipur
8119,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8120,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Jaipur
8121,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Ludhiana
8122,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
8123,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Delhi
8124,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Raipur
8125,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Bangalore
8126,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Jaipur
8127,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Delhi
8128,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Mumbai
8129,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Pune
