,Role,Company,Stipend,Duration,Location
5175,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5176,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5177,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5178,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5179,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5180,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5181,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5182,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5183,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5184,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5185,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5186,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5187,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5188,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5189,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5190,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5191,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5192,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5193,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5194,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5195,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5196,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5197,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5198,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5199,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5200,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5201,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5202,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5203,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5204,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5205,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5206,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5207,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5208,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5209,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5210,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5211,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5212,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5213,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5214,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5215,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5216,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5217,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5218,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5219,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5220,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5221,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5222,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5223,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5224,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5225,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5226,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5227,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5228,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5229,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5230,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5231,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5232,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5233,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5234,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5235,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5236,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5237,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5238,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5239,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5240,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5241,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5242,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5243,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5244,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5245,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5246,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5247,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5248,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5249,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5250,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5251,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5252,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5253,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5254,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5255,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5256,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5257,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5258,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5259,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5260,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5261,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5262,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5263,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5264,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5265,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5266,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5267,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5268,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5269,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5270,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5271,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5272,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5273,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5274,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5275,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5276,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5277,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5278,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5279,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5280,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5281,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5282,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5283,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5284,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5285,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5286,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5287,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5288,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5289,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5290,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5291,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5292,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5293,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5294,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5295,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5296,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5297,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5298,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5299,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5300,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5301,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5302,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5303,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5304,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5305,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5306,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5307,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5308,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5309,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5310,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5311,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5312,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5313,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5314,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5315,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5316,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5317,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5318,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5319,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5320,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5321,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5322,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5323,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5324,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5325,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5326,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5327,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5328,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5329,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5330,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5331,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5332,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5333,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5334,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5335,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5336,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5337,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5338,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5339,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5340,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5341,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5342,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5343,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5344,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5345,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5346,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5347,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5348,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5349,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5350,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5351,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5352,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5353,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5354,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5355,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5356,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5357,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5358,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5359,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5360,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5361,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5362,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5363,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5364,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5365,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5366,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5367,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5368,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5369,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5370,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5371,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5372,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5373,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5374,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5375,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5376,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5377,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5378,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5379,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5380,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5381,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5382,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5383,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5384,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5385,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5386,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5387,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5388,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5389,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5390,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5391,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5392,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5393,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5394,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5395,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5396,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5397,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5398,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5399,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5400,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5401,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5402,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5403,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5404,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5405,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5406,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5407,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5408,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5409,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5410,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5411,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5412,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
5413,Artificial Intelligence Trainer,Playto Labs,"₹ 3,000-10,000 /month",1 Month,Bangalore
5414,Female Personal Assistant,Big Bulls,"₹ 8,000 /month",6 Months,Bangalore
5415,Tele Sales & Tele Marketing,Big Bulls,"₹ 8,000 /month",6 Months,Noida
5416,Human Resources (HR),Big Bulls,"₹ 8,000 /month",6 Months,Lucknow                                                            (Hybrid)
5417,Sales,Madrocket Technologies & Media,"₹ 10,000-14,000 /month",3 Months,Hyderabad                                                            (Hybrid)
5418,Product Marketing,WaySpire EdTech Private Limited,"₹ 2,000-10,000 lump sum",1 Month,"North Goa, Goa Velha, Goa"
5419,Online Marketing,WaySpire EdTech Private Limited,"₹ 2,500-15,000 lump sum",1 Month,Indore
5420,Finance,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5421,Capital Market,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mumbai
5422,Trader,Big Bulls,"₹ 5,000 /month +  Incentives",2 Months,Mohali
5423,Business Development (Sales),Tripple One Solutions,"₹ 15,000-25,000 /month",3 Months,Mumbai
5424,Social Media Marketing,Gamoft Consultancy Services Private Limited,"₹ 10,000 /month",6 Months,Mumbai
5425,Digital Marketing,CYPWNG Software Technologies,"₹ 10,000 /month",6 Months,Raipur
5426,Volunteering,She Can Foundation,20% of Total Funds Raised,4 Weeks,Mumbai
5427,Field Volunteering,InAmigos Foundation,"₹ 200-2,500 /week",6 Months,Mumbai
5428,Community Influencing,She Can Foundation,20% of Total Funds Raised,1 Month,Bangalore
5429,Corporate Sales,PROVEN PATH CONSULTANCY,"₹ 4,000 /month",3 Months,Goa Velha
5430,Field Executive – Sales Department (Banking Domain),Techdome Solutions Private Limited,"₹ 10,000-15,000 /month",3 Months,Chennai                                                            (Hybrid)
5431,Marketing,Efficienergi,"₹ 10,000 /month",5 Months,"Mangalore, Bangalore, Udupi"
5432,Videography,Rentkar-Switch To Share,"₹ 10,000-12,000 /month",6 Months,Jaipur
5433,Creative Illustrator,Alphanumeric Ideas Private Limited,"₹ 3,000 /month",6 Months,Pune
5434,Graphic Design,Suruchi Sable,"₹ 10,000-20,000 /month",6 Months,Kolkata
5435,Photography,Suruchi Sable,"₹ 10,000 /month",6 Months,Bangalore
5436,Operations,KLM Growth & Technical Services,"₹ 8,000-15,000 /month",3 Months,Ludhiana
5437,Graphic Design,Webverge,"₹ 7,000-10,000 /month",6 Months,"Chennai, Avadi, Thiruvallur"
5438,Graphic Design,Pepmedia Services,"₹ 10,000 /month",4 Months,Noida
5439,Weekend Event Host,Breakout,"₹ 4,000-5,000 /month",6 Months,
5440,Event Management,MentorBoxx,"₹ 10,000 /month",1 Week,
5441,Search Engine Optimization (SEO),Wrexa Technologies LLC,"₹ 6,000-10,000 /month",1 Month,
5442,Event Management,Scoreup Sports,"₹ 15,000-20,000 /month",1 Month,
5443,Graphic Design,Arch Point Consultants Private Limited,"₹ 7,000-15,000 /month",3 Months,
5444,Interior Design,Inorbvict Healthcare India Private Limited,"₹ 6,000 /month",3 Months,
5445,Digital Marketing,Fluraa Essence,"₹ 6,000 /month",6 Months,
5446,Videography,Tap That,"₹ 10,000-15,000 /month",3 Months,
5447,Community Management,QuadB Tech,"₹ 15,000-20,000 /month",6 Months,
5448,Product Design,ABEX Excellence Private Limited,"₹ 10,000 /month",3 Months,
5449,Sales Consultant,MacroHire,"₹ 10,000 /month",3 Months,
5450,Sales (Female),BizInnovision Private Limited,"₹ 5,000 /month +  Incentives",2 Months,Delhi                                                            (Hybrid)
5451,Business Development (Field Sales),Classess.com,"₹ 8,000 /month",4 Months,Hyderabad                                                            (Hybrid)
5452,Business Development (Sales),Offbeat,"₹ 8,000 /month +  Incentives",3 Months,Mumbai                                                            (Hybrid)
5453,Campus Ambassador,Patson's Career Abroad Consultancy,Performance Based,3 Months,"Pune, Mumbai"
5454,Business Development (Sales),Designer Mulberry Spaces Private Limited,"₹ 10,000 /month",3 Months,Mira Bhayandar
5455,Video Editing/Making,Yellowpatch Entertainment,"₹ 6,000-12,000 /month",3 Months,Pune                                                            (Hybrid)
5456,Teaching,TheWorkshop,"₹ 10,000 /month",3 Months,Chandigarh
5457,Digital Marketing & Operations,Eco-one,"₹ 5,000-7,000 /month",6 Months,Mumbai                                                            (Hybrid)
5458,Coaching Institute Management,Saraswati Vidyamandir,"₹ 2,000-4,000 /month",6 Months,"Ambala, Ambala Cantt, Ambala Sadar"
5459,Social Media Marketing,Back To Roots,"₹ 5,000-8,000 /month",2 Months,Kochi
5460,Media & Public Relations (PR),Jarurat Care,Unpaid,4 Months,Noida
5461,Video Editing/Making,AIR HR Solutions,"₹ 3,000 /month",6 Months,"Coimbatore, Erode, Tiruppur, Salem"
5462,Human Resources (HR),Visible Gain,"₹ 6,000-10,000 /month",6 Months,Bangalore
